baseMean	log2FoldChange	lfcSE	pvalue	padj
S100a1	417.062402737423	-3.12088049689305	0.240736691695292	1.25812224428362e-39	1.77333650040424e-38
Soat1	2080.41699413662	-3.10137437816373	0.111159633137104	1.87598488643222e-172	1.43228603677757e-170
Nr0b2	69.4693541334694	-3.10068495349042	0.697120069736193	2.38339868304895e-07	7.25238282843216e-07
Rtn4r	93.0534516339697	-3.09755508089823	0.52129446972167	1.19610058998697e-10	4.90610571668242e-10
Gca	473.730055978114	-3.09438261352243	0.252843642095446	1.2671842945448e-35	1.60839840307588e-34
Gpc3	97.9595781849981	-3.08760427322602	0.509398101178391	5.91142193027269e-11	2.4937342073373e-10
Cdc42ep4	737.052230613339	-3.07977534389761	0.19700724743831	3.01883251172924e-56	5.86200270774707e-55
Sh3d19	334.905204905008	-3.07408234674649	0.29541501527391	1.4838489545479e-26	1.40547272217423e-25
Pstpip2	147.853364894198	-3.0545400551659	0.410611066518772	5.51507664390443e-15	3.09126487304054e-14
C1galt1c1	1262.40285215764	-3.04470713785439	0.139133165049529	2.78917943693383e-107	1.10232746531055e-105
Elovl7	175.877075235345	-3.04464293361289	0.386293432032505	1.84336372839935e-16	1.11643146963994e-15
Ifi204	65.2989402174297	-3.04118437461174	0.653194191779533	9.85667777824844e-08	3.12179756911338e-07
Fam20c	248.930976220109	-3.02372458489961	0.343623782753281	8.50927947600565e-20	6.04770934832052e-19
Atp8b4	5221.79074128916	-3.00681510753098	0.0720781663329179	0	0
Ppic	435.030028357912	-3.0013260345615	0.252042683118653	7.63036022064838e-34	9.23154505446511e-33
Tmem40	236.261931871888	-2.99821343898011	0.331744425805679	1.02364239119898e-20	7.63602369985445e-20
Frrs1	1727.21746786189	-2.99763323761998	0.12887983375486	9.04222106747661e-121	4.06819213919774e-119
Cd63	2125.04920671249	-2.99276914824414	0.112298214357112	1.41808963391734e-157	9.40230745435459e-156
S1pr2	412.986421588162	-2.99022612442824	0.266173773583855	1.9512031873315e-30	2.10537748628767e-29
Rnf217	184.379021954382	-2.98658997876024	0.437013135002855	4.3502926920478e-13	2.14807691085045e-12
Sema6b	205.517605039017	-2.98255100642821	1.09080258847809	9.18733177652971e-05	0.000213144405257519
Mapkapk3	5647.52244480538	-2.96866466548696	0.0700966142249259	0	0
Tmem38b	584.375175024955	-2.95693618906242	0.20189043021325	1.09818905728821e-49	1.90819815850872e-48
Mcemp1	226.93685805123	-2.95453399551279	0.327584378451993	1.24634429554327e-20	9.24937983099047e-20
Gm14005	100.560270238922	-2.93553703171527	0.521478041892583	7.74262721034629e-10	2.96242205868906e-09
Prss57	3008.01209472233	-2.93307251088974	0.105151162673565	2.66248987741659e-172	2.01748669057176e-170
