MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Icosl	338.6	241.5	264.7	319.4	309.7	242.9	216.7	190.3	302.5	357.2	490.7	228.7	516.9	336.4	571.1	460
Spg7	1352.4	1459.9	1265.5	886	492.8	1043.4	1135.6	1379.6	1719.6	1929.9	1746.8	1011.2	657.4	852.5	1800.1	1683.7
Rpl13	69411.6	79543.3	76220.5	73815.5	67237.5	62742.8	65568	69636.9	70935.5	88118	79819.1	75106.6	73100.4	72310.7	73343.6	78579.9
Chmp1a	4577.6	5479.2	5819.9	5414.6	5688.8	5406.4	5492.5	5327	4870.9	6155.4	5404.8	5196.1	5678.9	5419.1	6023.6	6326.2
Rpa1	12895.3	13078.7	13505.2	13767.1	13833	12683.4	13511	14102	13901	13974.7	13754.1	14901.5	15096.3	14162.6	14003.2	14749
Serpinf1	7652.8	8207.5	7568.2	5439.9	4418	5009	6325.5	5574.4	8193.1	8620.1	8247.2	6313.8	5203.8	5861.6	6910.8	6696.3
Tubgcp3	2403.7	2248.8	2205.3	2537.2	2954.6	2899.8	2129.9	2823.5	2339.1	1993.2	2415.3	2169.3	2612	2960.3	2446.9	2952
Polr3d	1166.7	1244.6	1358.8	1107.1	1338.9	1616.3	1059.3	1120.3	1171.6	1309.6	1177.8	1212.3	1242.8	1245.6	1308.4	1271.6
Tcf7	610.5	396.2	421.8	665.9	190.5	484.5	299.1	335.4	69.4	50.9	22.5	33.5	0	80.8	38.2	4.2
Ddx3x	4537.3	3495.8	2969	3468.4	2748.1	3370.3	4328.3	3796.1	4304.2	3397.9	2923.3	3307.7	3374.7	2954.3	3105.5	3193.7
Il12rb1	731.5	731.8	532.3	310.4	655.6	450.8	516.7	568.3	646.4	791.1	632.7	377.5	717.6	601.7	713	889.7
Usp32	228.8	207	295.2	364.5	205.4	241.5	293.9	329.9	360.5	290	246.7	370.6	323.7	326.8	276.4	356.7
Txnrd3	1140.4	1113.7	962.7	848.2	944.1	799	1150.3	1266.3	842.2	758.5	799.8	780.6	717.6	1086.5	899	1213.7
Zfp512b	1908.5	1855	1631.1	1668.3	1576.3	1877.5	2205.3	1898	2389.9	2313	1822.4	2071.8	1732.9	1922.1	2465.3	2352.7
Dnajc5	3413.7	3487.4	3280.4	3508.1	3968.9	4117.3	3524.7	3702.7	3836	3567.8	3599.7	3738.4	3733.5	3470.4	3898.6	3751.1
Tpd52l2	5880.3	6027.7	5944.6	6373.8	5918.7	5591.8	6288.2	5569.9	5415.8	5394	6170.1	6049.7	5781.8	5821.8	5814.2	6532.7
Fmr1	1874.7	1417.1	1472.1	1107.1	952.6	1192.2	1287.3	1652.4	1665.8	1426.8	1569.1	945.2	960.1	1108.2	1412	1367.3
Bcl11a	4439.7	3907.4	3609.8	4003.5	4630.9	4985.2	4505.1	4278.3	6646.4	5778.1	6346.5	6735.7	8214.7	6739.4	7071.1	6719
Pxmp4	1353.3	1643.2	1555.9	1529.4	1539	1461.8	1560.4	1444.8	1334.3	1684.1	1667.2	1465.6	1394.2	1620.7	1760.4	1709.8
Gnb1l	690.3	574.7	830.3	696.6	794	713.4	989.1	881.9	644.3	829.6	890	693.9	899.9	879.1	768.1	794
Mmp11	298.2	227.3	156.2	87.5	234.2	108.1	156.9	78	316	341.8	165.8	314.4	456.7	422	439.6	427.2
Smarcb1	6806.9	7145	7618.6	7368.1	7890.9	8370.9	7210.6	7348.3	7632.6	8669	7716.6	7436.4	7770.6	7771.6	6784.4	7273
Hip1r	1710.6	1722.9	1473.1	1215.4	2065.8	2082.5	1520.5	1840	1720.7	1410.4	1779.9	1332.5	2101.8	2051.1	2100	2457.6
Nsun5	1776.3	1989.4	2217.7	2224.1	2284	2054.4	1951.3	2142.8	1923.7	2147.8	2148.7	2158.5	1883.5	2368.3	1813.3	1687.9
Top1mt	1077.6	1362.4	1304.5	1133.3	1303.8	1393	1097.5	1132.1	1405.7	1414.3	1329	1216.2	1142.5	1252.9	1111.4	1206.1
Hoxa10	797.2	699.6	637	559.4	834.4	942.3	619.8	716.1	741.7	675.9	917.8	848.6	1060.5	945.4	1212.1	916.6
Slc7a7	332	241.5	237.1	293.2	298	210.6	63.3	284.6	109.8	152.7	165.8	196.1	167.3	162.8	164.6	119.2
Oxa1l	2331.5	2515.3	2482.4	2638.3	2459.6	2545.9	2513.9	2567	2871.6	2865	2837	3125.4	2785.9	2816.8	2584.4	2909.2
Heatr6	1997.6	2389.2	2759.5	3151.7	2461.8	2294.6	2247.8	2541.6	2366	2052.8	2733.6	3097.8	2392	3129.2	2267.6	2414
Ccl3	1088.8	542.6	2634.8	681.2	329.9	731.6	2020.7	1535.5	2538	1012.9	6637	2381.2	1338.2	2476.8	8398.5	5923.3
Wfdc18	21.6	46.4	45.7	22.6	18.1	21.1	23.4	13.6	241.4	267.9	419.1	389.3	732.7	472.7	479.2	438.1
Icam4	532.7	685.3	622.7	739.9	759.9	556.1	671	803.1	152.3	221.8	147.2	164.6	213.3	209.8	156.6	231.7
Ilf2	6291	7442.5	6900.7	8104.4	7421.5	7715.1	7598.9	6981.2	7236.9	7037.8	7004.4	7406.9	6976.1	6922.7	7082.8	6818
Chtop	6232.9	7126	7054.9	6418	6889.4	7241.8	6706.1	6147.3	6278.7	7130.9	7182.1	7649.3	6411.5	7579.9	6924.8	7179
Snapin	4157.5	3516	3583.2	3476.5	3488.8	3875.8	3899.2	4128.7	3470.3	3476.6	3427.3	3813.3	3720.1	3738.1	3720.8	3980.2
S100a6	1021.3	1317.2	789.4	752.5	837.6	556.1	764.6	688	978.9	1113.8	771.9	669.2	817.1	552.3	727	723.5
Icam2	3257.1	3180.4	3704.1	3625.4	3082.3	3050.1	2926.5	2617.7	2640.6	2655.7	3325.1	2925.3	2825.2	2989.3	2370.5	2276.3
Mapk7	537.4	928.1	886.5	572.1	971.7	946.5	804.5	631.8	642.3	1157	1146	785.5	1210.2	891.1	890.9	908.2
B9d1	68.5	40.5	93.3	14.4	51.1	52	39.9	55.3	154.4	88.3	144.6	212.9	234.2	89.2	56.6	107.4
Sec24b	1479.9	1571.8	1619.7	1755.9	1950.9	1714.6	1832.6	1918.9	1813.9	1471.9	1875.4	1990.9	1712.9	2582.9	1945.6	2218.4
N4bp3	347	415.3	556.1	397	683.3	806.1	503.6	328.1	1144.7	1325	1894	1188.6	1365.8	1404.8	1303.2	1267.4
Rmnd5b	2323	2219.1	2801.4	2460.5	2791.7	2540.3	2468.8	2264.2	2575.3	3156.9	4695.2	3456.5	3070.3	3740.5	2835.8	3537
Nhp2	8162	9530.6	9102.2	8584.4	7778.1	7584.5	8228.3	8353.5	8821.9	10753.5	9060.2	8535.4	8198.8	8491.5	7021.1	8530.3
Vps9d1	530.8	411.7	451.3	358.2	516.2	456.4	390.1	543.8	588.4	333.2	685.7	284.8	381.4	660.8	807.8	522.9
Zfp276	450.2	387.9	413.3	490.8	717.4	692.3	330.3	384.3	422.7	314.9	327.6	392.3	443.3	501.6	618.2	592.6
Mfsd10	5868.1	7233	7241.6	7012.6	8153.8	7152	7055.4	7625.6	5978.3	6637.4	6454	5607.1	6044.4	5737.4	6689.6	6555.3
Luzp1	802.8	773.4	837	1064.7	1004.7	898.7	911.1	972.6	1003.8	1012	801.1	1058.5	1027.1	949	843.8	831.8
Kctd10	3130.5	3519.5	3312.7	3225.7	4157.2	2856.3	3304.5	3594.8	3567.7	3156.9	3643.5	3067.2	3322	3349.8	4221.3	3831.6
Poldip2	4955.6	6130.1	5317.1	5248.6	5133.2	5242.1	4702.7	5433.9	5572.2	5913.5	6038.8	5044.4	5308.4	5521.5	5502.5	6330.4
Ift20	2417.8	2583.1	3137.5	2786.3	2860.9	2870.3	2643.1	2693	2769	2714.3	2891.4	2358.6	2599.4	2506.9	2292.6	2478.6
Pcbp3	946.3	1024.5	1120.8	1079.1	1052.6	1265.2	1302	1205.5	551.1	884.3	960.3	738.2	1185.1	1012.9	949.7	1045
Lgals9	26515.6	28990.5	29018.6	26381.2	24782.7	21427.8	29056.5	28997.9	22760.1	24415.2	22200.3	22377.3	20381.3	18310.7	22188.6	21712.3
Araf	3569.4	3407.7	4202.1	4250.7	4393.5	3725.5	3637.4	3452.5	3439.2	2927.4	3858.3	4426.4	4055.5	4165	3892.8	3802.3
Cfp	1999.5	2371.4	2496.7	2065.3	1681.6	1874.7	1890.6	1833.7	2561.8	2451.2	2542.6	1897.3	1906.1	2139.2	2474.9	1896.9
Uxt	723.1	681.8	718.9	648.7	651.4	727.4	778.4	830.3	702.4	709.5	647.3	575.6	635.6	606.5	583.6	632
Cnnm3	433.3	342.7	407.5	455.7	402.3	410	436.9	586.4	639.2	661.5	542.5	556.9	505.2	296.6	392.5	415.5
Lman2l	1297	1469.5	1809.2	1915.6	1963.7	2199.1	1369.6	1249	1221.3	1671.6	1760.1	1794.8	2180.4	1955.9	1847.9	1309.4
Mcm3ap	1886.9	1484.9	1888.2	1488.8	2678.9	2218.7	1613.2	1696.8	1280.4	1811.8	1652.6	1559.2	2009.8	2273	1860.4	1592.2
Pcnt	4512	3817	4298.3	3921.4	5203.5	4521.8	4068.2	5074.1	4310.5	3531.4	4650.1	4197.7	6302	5613.2	4695.4	3944.9
Mxd1	1080.4	1241	1175	1167.6	1006.8	1283.5	1375.7	1188.3	706.5	771.9	1136.7	1070.4	983.6	1100.9	1613.4	1003
Gmcl1	2103.6	1896.6	2202.5	1892.1	648.2	2075.5	1854.2	2165.4	2068.7	2051.8	2545.2	1660.8	770.3	1836.5	2102.9	2423.2
Snrnp27	2248.9	2196.4	2437.7	2285.5	2179.7	2265.1	2183.6	1939.7	2059.4	2335	2256.1	2322.1	2438	2204.3	1992	2245.3
Oas1c	288.9	302.2	379.9	247.2	220.3	275.2	340.7	260.1	206.1	178.6	216.2	227.7	250.1	294.2	227.1	302.2
Ocrl	1574.6	980.4	1615.9	1392.2	1231.4	1511	1547.4	1352.4	1063.9	537.7	832.9	836.8	1048.8	776.6	982.7	945.9
Calm1	18578.7	21518.3	20430.6	22426.4	20563.8	20807.1	19530.5	19989.1	18396.9	21086.4	18396.3	20443.6	20018.3	19322.4	16191.4	17322.5
Agpat3	168.8	184.4	98.1	111	185.2	200.8	190.7	193.1	440.3	348.5	338.2	222.7	292.7	458.2	376.3	311.4
Uhrf1	8257.7	8192.1	8212.8	7931.1	10628.3	9539.2	8424.2	9419.4	10447.2	10095.8	9020.4	9303.2	11515.8	10314.8	9576.1	10533
Dpp9	1286.7	1500.4	1451.2	1579	1989.2	1807.3	1065.4	1485.6	1356	1499.7	1441.7	1407.5	1692	1840.1	1173.1	1543.6
Gramd1a	3478.5	3561.2	4710.6	3162.5	3861.4	5250.6	4253.7	3932.9	3768.7	3703.2	5946	4106.1	3780.3	5773.6	6793.2	5636.2
Hpn	69.4	123.7	101.9	111	128.8	141.8	69.3	74.3	22.8	101.8	39.8	103.5	47.7	44.6	62.5	47
Ckb	150.1	145.2	194.3	197.6	160.7	271	76.3	125.1	257.9	292.8	217.5	193.2	297.7	440.1	121.3	218.2
Sp1	1507.1	1092.3	1371.2	1358.8	1618.8	1950.5	1583.8	1295.3	1582.9	1493	1165.9	1381.8	1872.6	1289	1380.4	1153.3
Itgb7	2045.4	2534.4	1850.1	1847.9	1421.9	1804.5	1748.5	1605.3	2822.9	3632.2	3933.9	2584.3	3293.6	2737.3	2868.1	2528.1
Myg1	2886.7	2868.7	2920.4	3014.6	2838.5	2707.4	2506.1	2748.2	3357.4	3697.5	3033.3	3489.1	2862	3117.1	3188.6	3312.1
Rarg	300.1	207	160.9	172.3	367.2	221.9	190.7	204.8	213.4	142.1	196.3	109.4	249.2	360.5	299.2	202.3
Pfdn5	6589.3	7193.8	6705.5	6058	5893.2	5247.8	6054.2	5767.5	6023.9	5619.7	8667.6	5815.1	7042.2	5835.1	5701	5935.9
Rrp15	3364	3912.2	3770.7	3959.3	3100.4	3339.4	3386	3821.4	3639.2	3246.2	3349	3497.9	3211.6	3767	3013.7	3061.1
Rnd2	83.5	151.1	144.7	131.7	70.2	88.5	63.3	125.1	93.2	56.6	69	51.3	53.5	78.4	57.3	110.8
