MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Pigb	810.3	735.3	696.1	868.9	936.6	754.1	804.5	726.9	816.3	722	769.3	643.6	905.8	994.8	758.6	669
Utp14b	123.8	102.3	196.2	121.8	120.3	118	148.2	102.4	96.3	100.8	139.3	129.1	109.6	79.6	247	65.5
Rab7	9919.6	10686	11335.1	11164	9650.2	10321.4	11094.1	10995.7	9623.7	9999.8	9740.6	10430.7	8555.1	9954.2	9820.8	10010.1
Sssca1	1780	1941.8	2093.9	2005.8	1714.6	1761	1712.9	2066.6	1753.8	2428.2	2115.5	1925.9	1984.7	2005.3	1771.4	2155.4
Pin4	795.3	755.5	783.7	801.2	654.6	679.7	804.5	739.6	645.4	727.8	599.5	717.5	682.5	646.3	696.8	636.2
Nhsl2	294.5	415.3	367.6	311.3	427.9	294.9	274.8	230.2	332.5	206.4	159.2	82.8	117.1	135.1	165.4	142.7
Med12	965	829.3	979.8	971.8	1411.3	1235.8	703.9	1160.2	793.5	721.1	909.9	784.5	1176.8	1248	1001.1	1091.2
H2-T10	429.5	357	598	588.3	431.1	723.2	475.9	305.5	727.2	704.7	741.4	778.6	592.1	664.4	749.7	692.5
6530402F18Rik	210.1	304.6	155.2	282.4	140.5	235.9	170.8	284.6	347	271.7	315.7	213.9	154.7	324.4	258.7	309.7
Gm11131	171.6	113	100.9	143.5	216.1	207.8	143	194	173	142.1	234.8	209.9	234.2	189.3	237.4	235.9
Apoo	923.8	856.7	753.2	931.2	729.1	858	833.1	758.7	980	909.2	847.5	818.1	840.5	844.1	665.2	766.3
Zfx	1555.9	1586.1	1361.7	1573.6	1676.3	1536.3	1556.9	1707.7	1645	1523.7	1254.7	1523.8	1430.2	1696.6	1654.6	1335.4
Tmsb10	27564.1	29959	29432.8	27669.6	25083.9	27506.9	31649.3	28395.2	41928.8	45973	41292.9	40085.8	39148.4	38556.8	40692.5	42940.3
H2-DMb1	2622.2	2697.4	2987.1	2389.3	2163.8	2183.6	2648.3	2332.2	2885	3163.6	2992.2	2834.6	2371.9	2314	2700.5	2665.8
Mpp4	161.3	40.5	151.4	93.8	112.8	98.3	156.9	94.3	6.2	26.9	18.6	14.8	23.4	24.1	40.4	18.5
Kifc1	1468.7	1385	1517.8	1852.4	2272.3	1881.7	1458.9	1987.8	2310.1	2294.7	2287.9	1993.9	2909.7	2209.1	2865.2	2832.8
Haus3	3658.5	3480.3	3839.3	3435	3084.4	3583.7	3962.4	3928.4	3539.7	3745.5	3026.7	3727.6	3477.6	3366.7	3503.2	2835.3
March2	921.9	962.6	936	579.3	189.4	466.2	641.5	904.6	771.8	1039.8	1094.2	451.4	204.9	296.6	818.1	814.2
Gm684	186.6	114.2	127.6	185	160.7	178.3	199.4	173.1	73.6	124.8	50.4	56.2	43.5	55.5	53.7	68
Hoxa3	68.5	84.5	71.4	105.6	124.5	103.9	81.5	71.6	104.6	172.8	152.5	179.4	220	196.6	246.2	156.1
Maea	6304.2	7024.8	6053.2	6490.2	6830.8	7326.1	6859.5	7212.3	4813.9	5574.5	6050.8	5822	6486	5726.5	6047.9	6590.6
Pglyrp2	3234.6	3473.1	2734.7	2643.7	3615.5	2809.9	3642.6	3124.4	3206.2	3692.7	3460.4	3039.6	4405.1	3954	3849.4	3577.3
Gm14597	118.2	119	91.4	103.8	104.3	123.6	104	114.2	91.2	121	108.8	72.9	109.6	107.3	57.3	85.6
Ankrd39	664.9	675.8	683.7	782.3	853.6	742.9	750.7	790.4	614.3	619.3	852.8	808.2	863.1	900.8	652.7	708.4
Seh1l	6291	6161	6201.7	5688.9	5257.8	5528.6	5879.1	6009.5	5484.1	5106	5345.2	5111.4	4462	5425.1	5721.5	5471.7
Rpl39	6810.6	6759.5	5855.1	5913.6	5313.1	5166.3	5927.6	5780.2	6650.6	6206.3	6956.7	5657.4	6198.3	5448	5861.9	5803.3
Tceb1	4710.8	4458.3	4034.5	3621.8	3822	4329.4	4432.3	4414.2	4149.9	4488.6	4074.5	3898.1	4415.1	3967.2	3992.7	4250.5
Tmem243	171.6	107.1	158.1	127.2	174.5	118	272.2	203.9	199.9	178.6	273.2	249.4	202.4	205	289.6	224.9
Fdx1l	1177.9	1446.8	1457.8	1423.8	1579.5	1418.3	1362.7	1652.4	1364.3	1663.9	1549.2	1349.3	1306.4	1328.8	1218.7	1584.7
Ulbp1	360.1	268.9	224.7	277.9	380	176.9	277.4	377.1	259	171.9	306.4	314.4	237.5	291.8	255.1	307.2
3110001I22Rik	354.5	361.7	252.3	325.7	407.6	325.8	362.3	387.9	374	296.7	315.7	295.7	245.9	250.8	269.8	324.8
Xlr4a	635.9	430.7	419.9	407.8	519.4	415.7	794.9	573.8	541.8	470.5	344.8	451.4	443.3	425.7	620.4	448.2
Gm10698	174.4	202.3	188.5	177.8	193.7	178.3	199.4	185.8	155.4	204.5	209.6	149.8	159.7	149.5	127.9	180.5
Gm11273	306.7	282	283.8	277	269.3	259.8	286.1	288.2	338.7	349.5	265.3	303.6	284.4	219.5	235.9	232.5
Rpl28-ps3	132.2	105.9	69.5	82.1	101.1	101.1	115.3	98.8	112.9	131.5	99.5	101.5	97	80.8	80.1	84.8
Rps19-ps7	106	126.1	122.8	93.8	94.7	99.7	117	124.2	140.9	129.6	120.7	117.3	97	102.5	68.4	89
Gm5915	168.8	129.7	99	115.5	142.6	98.3	152.6	102.4	87	113.3	65	102.5	102	91.6	95.6	104.1
Gm13573	463.3	586.6	604.7	547.7	547.1	448	456.8	551.1	512.8	657.7	710.9	587.4	565.4	561.9	549.1	625.3
Brms1	2947.6	3123.3	3447.9	3371.9	3119.5	3031.8	3123.3	3079.1	2625	3242.4	3310.5	3410.2	2900.5	3132.8	3036.4	3159.3
B230307C23Rik	292.6	248.7	334.2	283.3	326.7	355.3	370.2	291	330.5	285.2	322.3	327.2	292.7	276.1	357.2	307.2
C920021L13Rik	230.7	97.6	134.3	202.1	138.4	158.7	268.7	154.1	246.5	209.3	177.7	199.1	175.6	156.8	116.9	153.6
Rpsa-ps12	170.7	201.1	154.3	167.8	155.4	129.2	179.4	162.2	186.5	224.7	132.6	184.3	179.8	160.4	121.3	146.9
Gm12174	4840.2	4019.3	3393.7	3285.2	3750.7	3328.1	4262.4	3496	4651.3	4057.5	3323.8	3434.9	3478.4	2778.3	2792.4	2983
Gm9385	2194.6	1695.5	1256.9	1170.3	1442.2	1216.1	1654.8	1423.1	1953.7	1506.4	1326.3	1219.2	1318.9	956.2	941.6	1025.7
Gm15745	167.9	161.8	130.5	115.5	109.6	106.7	173.4	139.6	176.1	145.9	151.2	132.1	152.2	109.7	127.2	138.5
Rpl22-ps1	942.5	929.3	828.4	710.1	894	714.8	867.7	890.1	1011.1	886.2	892.6	730.3	825.5	678.9	660.1	721.8
Gm15920	212.9	170.1	148.5	110.1	132	154.5	166.4	156.8	194.8	171.9	153.9	140.9	142.2	112.1	139.7	152.8
Gm14567	384.5	264.1	243.8	215.6	255.4	245.7	311.2	216.6	286.9	202.6	245.4	194.2	232.5	195.3	191.8	184.7
Gm11966	252.3	202.3	170.4	157	163.9	169.9	251.4	185.8	243.4	165.1	134	152.8	190.7	147.1	152.9	161.2
Rpl38-ps2	3286.2	3342.3	3098.5	2798	2916.2	2491.2	3103.4	2990.3	3535.6	2987.9	3212.4	2834.6	3087	2253.7	2341.8	2446.7
Gm10224	444.5	452.1	410.4	353.7	355.5	363.7	416.1	390.7	512.8	495.4	374	398.2	419.9	311.1	370.5	398.7
Gm11336	90	34.5	80	117.3	91.5	78.6	132.6	73.4	159.5	73	135.3	165.6	125.5	133.8	110.3	112.5
Rps24-ps3	694	550.9	456.1	404.2	516.2	477.5	651.9	478.6	737.6	469.5	514.6	409	491.8	370.2	364.6	402.9
Gm15427	29358.2	30041.1	27981.6	25271.3	28772.9	23239.3	28318.8	25847.3	30401.1	36273.8	27601.1	31112.8	28851.9	23862.4	23378.6	25705.1
Rps15a-ps7	155.7	163	116.2	84.8	110.7	92.7	130.9	122.4	210.3	140.2	141.9	116.3	127.1	92.8	103.6	125.9
Rpl19-ps11	5160.9	5494.7	5083.8	4559.3	5207.7	3946	4545.8	4585.5	5324.6	6211.1	5021.5	4935	4915.3	4222.9	4077.3	4429.2
Gm5913	131.3	133.3	123.8	138.1	104.3	140.4	132.6	144.1	124.3	185.3	136.6	140.9	119.6	132.6	119.1	140.2
Rpl35a-ps2	694	527.1	482.8	369.9	455.5	377.7	513.2	496.7	650.6	498.3	449.6	365.7	478.4	330.4	371.2	357.6
Bambi-ps1	117.2	144	199	120	126.7	78.6	130	134.1	31.1	73.9	49.1	36.5	30.1	38.6	91.1	46.2
Gm16089	191.3	160.6	105.7	123.6	108.6	133.4	130	146.8	133.6	106.6	87.5	103.5	112.1	94.1	98.5	83.1
Gm11836	810.3	735.3	677	708.3	857.8	603.8	803.6	675.3	612.2	635.6	571.7	572.6	557	437.7	395.5	545.6
Gm13509	376.1	420	446.6	425	485.3	446.6	433.4	471.3	390.5	443.6	387.3	411	393.1	399.1	394	423
Gm14303	1751.9	1459.9	1204.5	1120.6	1161.2	1192.2	1481.5	1460.2	1783.8	1622.6	1168.5	1246.8	1418.5	1017.7	1142.2	1147.4
Rps13-ps4	157.6	86.9	108.6	97.4	116	87.1	81.5	104.2	118.1	77.8	75.6	114.3	112.1	92.8	105.1	79.7
Rpl18-ps1	1368.3	1266	1032.2	942	977	1025.1	1180.7	1070.5	1310.4	1373	1103.5	1120.6	1160	944.2	979.1	1032.4
Gm13680	3353.7	2928.2	2794.7	2578.7	2586.3	2215.9	3229.1	2704.7	3410.2	3122.3	2734.9	3005.1	2601.1	2127.1	2102.2	2254.5
Rps6-ps4	2731.9	2280.9	1902.5	1810	2087.1	2001.1	2382.1	2098.3	2764.9	2388.8	2046.5	1651.9	1998.1	1541.1	1574.5	1671.1
Gm14165	1634.7	1825.2	1980.6	1708.9	1511.3	1314.4	1430.3	1451.2	1710.3	2023	1953.7	1948.6	1688.6	1661.6	1619.3	1703
Gm12338	314.2	227.3	212.3	229.2	222.4	258.4	248.8	233.9	266.2	212.2	204.3	135	228.3	196.6	173.5	149.4
Slc48a1	5827.8	6914.2	5973.2	6329.6	6578.6	6820.5	5786.3	6643.1	4388.1	5264.4	5152.8	4127.7	5299.2	5074.2	5575.3	5388.6
Gm14681	227.9	179.7	190.4	173.2	160.7	202.2	208.9	202.1	278.7	291.9	191	179.4	312	189.3	159.5	189.7
Gm11518	1435.8	1429	1034.1	992.5	1164.4	936.6	1261.3	1144.8	1362.2	1191.5	1138	980.7	1023.7	807.9	816.6	933.4
Npm3-ps1	147.2	153.5	145.7	138.1	147.9	178.3	152.6	137.8	209.3	235.2	152.5	168.5	172.3	103.7	106.6	155.3
Rps11-ps3	163.2	185.6	174.3	174.1	174.5	141.8	211.5	195.8	188.5	206.4	205.6	195.2	181.5	164	166.1	183
Hmgb1-ps2	772.8	539	590.4	557.6	639.7	464.8	646.7	599.1	774.9	677.9	588.9	597.3	594.7	414.8	470.4	569.9
Gm14279	348.9	399.8	431.4	383.5	398.1	346.9	292.1	307.3	380.2	370.6	512	395.2	404.8	382.3	312.4	348.3
Gm12216	628.4	443.8	588.5	571.1	521.5	515.4	591.2	387.9	562.5	467.6	558.4	619	500.1	629.4	646.1	602.7
Gm14200	106	151.1	113.3	88.4	126.7	88.5	107.5	89.7	96.3	94.1	116.7	104.5	111.2	71.1	86.7	75.5
BC002163	556.1	539	509.4	544.1	589.6	499.9	524.5	504.9	498.3	498.3	403.2	501.7	441.6	418.4	381.5	376
Rpl17-ps5	534.6	483.1	386.6	359.1	377.8	365.1	393.6	411.5	542.8	461.8	456.3	396.2	342.9	335.2	294	334.9
Rpl17-ps10	462.4	467.6	460.9	350.1	440.6	386.2	500.2	418.8	479.6	455.1	510.6	404.1	424.9	349.7	303.6	339.1
Gm15536	747.5	690.1	611.3	463.8	496	594	634.5	643.6	729.3	625	527.9	586.4	598	541.4	540.3	576.6
Rps11-ps2	589.9	533	531.3	393.4	465.1	365.1	519.3	463.2	491	495.4	550.4	457.3	475.9	429.3	349.1	410.4
Gm12482	128.5	95.2	85.7	120.9	126.7	85.7	133.5	91.5	137.8	133.5	124.7	94.6	101.2	85.6	86.7	80.6
Gm13461	328.2	310.5	271.4	305.9	333.1	299.1	333.7	302.7	386.4	435.9	344.8	312.4	276.8	262.9	219	250.1
Rpl17-ps8	220.4	141.6	137.1	95.6	117.1	127.8	172.5	141.4	174	112.3	118	90.7	150.5	91.6	112.5	121.7
Snrpert	358.3	310.5	304.7	299.6	285.2	314.6	330.3	306.4	310.8	363.9	325	334.1	368.8	309.9	297	323.1
Ftl2-ps	2339.9	2430.8	1916.8	1876.8	2028.6	1746.9	2283.3	2107.4	1977.6	2175.7	1718.9	1910.1	1676.1	1281.8	1296.6	1463
Gm15753	87.2	75	101.9	99.3	78.8	87.1	103.2	99.7	120.2	123.9	126	89.7	78.6	102.5	106.6	108.3
Gm13577	240.1	198.7	154.3	166	141.6	162.9	228.9	190.3	234.1	169.9	156.5	182.3	206.6	161.6	190.4	209.8
Gm14276	186.6	180.9	243.8	213.8	266.1	276.6	258.3	155.9	336.7	236.2	271.9	264.1	286.9	283.4	197	250.1
Rpl5-ps1	244.8	178.5	160.9	103.8	176.7	185.4	175.1	167.7	206.1	193	156.5	136	180.7	137.5	157.3	178.8
Gm7429	522.4	589	560.9	542.3	516.2	471.8	547.9	502.2	603.9	621.2	624.7	675.1	536.1	545	556.4	588.4
Gm11675	111.6	102.3	92.4	103.8	101.1	94.1	92.8	97	118.1	112.3	88.9	89.7	66.9	62.7	64.7	69.7
Pisd-ps1	290.7	277.2	409.4	611.8	635.4	651.6	657.1	311.8	502.4	275.6	514.6	623.9	666.6	771.7	674.8	449.9
Gm12250	1308.3	1429	1548.3	1268.6	1257	1159.9	996	1310.7	1798.4	1352.8	2066.4	1921	1654.3	1664.1	1001.1	1374.9
Gm8822	151.9	141.6	146.6	151.6	134.1	116.6	146.5	145.9	140.9	140.2	148.6	122.2	147.2	98.9	112.5	134.3
Btc	175.4	121.4	333.3	62.3	178.8	154.5	131.8	92.5	62.2	89.3	156.5	56.2	25.1	127.8	115.4	131.8
Gm12183	398.6	298.7	351.4	367.2	389.5	338.4	450.8	379.8	414.4	365.8	372.7	376.5	357.1	325.6	330.8	319
Gm11598	756.8	711.5	799.9	669.5	745	629.1	760.2	669.8	732.4	905.4	661.8	676.1	636.5	598.1	521.9	602.7
Gm13456	10006.8	9800.7	8823.2	8394	9583.2	7366.8	9681.2	8594.6	10685.5	10106.3	9049.6	9222.4	8399.6	7162.7	7110.8	8087.1
Gm13050	115.4	128.5	86.7	106.5	109.6	102.5	104	88.8	155.4	161.3	115.4	172.5	133.8	101.3	79.4	91.5
Rps13-ps5	201.6	176.1	144.7	183.2	178.8	141.8	174.2	160.4	225.8	199.7	183	146.9	164.8	124.2	140.4	155.3
Gm15516	148.2	208.2	151.4	128.1	172.4	161.5	134.4	194.9	201	211.2	156.5	138	186.5	168.8	102.2	171.2
Gm11914	275.7	193.9	266.6	234.6	277.8	228.9	303.4	300	220.7	242	256	238.5	235	220.7	241.1	259.4
Dynlt1-ps1	646.2	785.3	884.6	714.6	777	623.5	867.7	702.5	722	747	851.5	724.4	755.2	528.2	658.6	632
Gm9703	268.2	180.9	181.9	187.7	166	182.6	245.3	217.5	278.7	213.1	172.4	220.8	213.3	143.5	160.2	164.5
Rpsa-ps9	891	963.8	884.6	776	893	761.1	877.3	862.9	954.1	1115.7	895.3	812.1	976.9	792.2	790.2	872.9
Gm5844	565.5	495	429.4	501.7	464	376.3	534.9	490.4	521.1	495.4	440.3	512.5	373.9	359.3	249.2	322.3
Gm8172	16689.9	18367.6	16758.9	14640.6	17447.4	12985.3	16176.6	15013.8	17653.1	17616.5	19051.5	16328.6	15972	13499.4	12873.5	13840.9
Gm7658	93.8	76.1	72.4	93.8	85.1	106.7	91	92.5	80.8	115.2	103.5	79.8	112.9	79.6	79.4	91.5
Gm11221	317	280.8	200	235.5	235.2	186.8	337.2	264.7	251.7	240	242.7	216.8	217.5	174.8	188.9	214.9
Fam220a	577.7	589	496.1	328.4	108.6	254.2	273.9	457.7	515.9	676.9	689.7	336.1	88.7	248.4	443.2	473.4
Rps15a-ps6	812.2	581.8	515.1	394.3	465.1	448	618.1	459.6	731.4	506	496.1	450.4	550.3	384.7	392.5	373.5
Gm9835	769	558	506.6	400.6	505.6	462	658.8	548.4	709.6	579.9	546.5	480	607.2	425.7	480.7	516.2
Gm12191	474.5	414.1	404.7	381.7	372.5	363.7	423	416.9	496.2	495.4	368.7	401.1	461.7	297.8	333	353.4
Gm14494	124.7	113	102.8	92.9	103.2	82.9	109.2	78	114	123.9	108.8	91.7	114.6	86.8	73.5	75.5
Gm11427	348.9	347.4	464.7	429.5	489.6	310.3	389.2	381.6	348.1	322.6	382	299.6	345.4	465.5	277.8	351.7
Ctsf	1310.2	1168.4	1281.7	1289.4	1188.8	1265.2	1081	1277.1	714.8	779.6	974.9	1248.8	1217.7	1012.9	1132	1012.3
Rpl38-ps1	695.9	712.7	578	607.2	580.1	491.5	653.6	601	692	663.5	599.5	502.7	593.8	465.5	446.9	472.6
Vcp-rs	430.5	431.9	460.9	474.6	452.3	457.8	508.9	450.5	467.2	491.6	454.9	443.5	434.9	452.2	340.3	397
Gm11539	1632.8	1620.6	1414	1283.1	1443.2	1247	1405.2	1384.1	1612.9	1708.1	1451	1460.7	1441	1196.2	1104	1240.6
Llph-ps2	769	800.8	731.3	719.1	785.5	699.3	763.7	717.9	801.8	740.3	656.5	806.2	660.7	622.2	596.9	641.3
Gm15542	95.7	82.1	70.5	104.7	122.4	160.1	111.8	70.7	108.8	84.5	99.5	94.6	133	117	78.6	73
Rpl30-ps10	397.6	326	375.2	301.4	356.5	278	421.3	347.2	357.4	338	346.2	295.7	357.1	221.9	274.9	271.9
Gm14044	511.1	604.4	506.6	551.3	534.3	418.5	469	497.6	609.1	594.3	596.9	639.7	505.2	530.6	478.5	585.9
Gm11451	158.5	163	124.7	121.8	100	136.2	159.5	161.3	149.2	144	88.9	96.6	109.6	77.2	96.3	134.3
Rpl21-ps15	1567.1	1662.2	1607.3	1423.8	1595.4	1286.3	1465.9	1433.9	1564.2	1759.9	1439.1	1591.8	1470.3	1243.2	1327.5	1337.1
Gm14586	2721.6	2451.1	1933.9	1804.6	2178.7	1718.8	2298.9	2020.4	2739	2173.7	2047.9	1756.4	2003.9	1449.4	1357.6	1531
Gm4459	276.7	228.4	176.2	166	180.9	178.3	260.1	223	267.3	217.9	157.8	153.8	199.9	159.2	155.8	162.8
Gm8624	95.7	136.8	108.6	117.3	113.9	98.3	93.6	108.8	122.2	112.3	141.9	89.7	106.2	110.9	108.8	109.1
Gm13436	3729.8	3684.9	3523.2	2846.7	3828.4	2727.1	3219.5	3281.2	3807	3967.3	3540	3525.5	3396.5	2705.9	2702.7	2938.6
Rps15a-ps4	3332.2	3468.4	3202.3	2867.5	3073.8	2279.1	3179.7	2945.8	3319.1	3064.7	3289.3	2908.5	2903.8	2309.2	2416.8	2425.7
Gm13394	167.9	120.2	92.4	107.4	120.3	106.7	143	124.2	160.6	100.8	83.6	80.8	124.6	65.1	85.3	93.2
Gm13841	899.4	844.8	687.5	688.4	827	693.7	877.3	792.2	974.8	858.4	738.8	702.7	689.2	554.7	629.9	601.8
Ube2d-ps	375.1	464	441.8	409.6	507.7	613.7	358.9	497.6	386.4	312	496.1	558.8	480.1	410	375.6	422.2
Gm14038	96.6	103.5	110.5	73.1	96.9	95.5	136.1	118.7	124.3	128.7	96.8	76.9	93.7	68.7	86	104.9
Gm12346	286	217.7	233.3	314.9	226.7	269.6	334.6	303.6	317	279.4	222.8	268.1	285.2	264.1	177.1	188
Gm13604	127.5	172.5	156.2	142.6	138.4	133.4	113.6	140.5	133.6	169.9	176.4	148.8	135.5	129	162.4	162.8
Rps18-ps1	290.7	322.4	315.2	296.9	279.9	203.6	209.8	252.9	293.2	308.2	340.9	306.5	308.6	295.4	277.1	282.9
Gm11478	7333.9	7164	6290.3	5038.4	5882.5	5098.9	6381.9	6050.3	7816	6564.4	7594.6	5615	6429.9	5068.2	4942.4	5291.3
Gm14269	145.4	114.2	120	114.6	133	112.3	126.6	107.9	133.6	113.3	108.8	83.8	91.2	86.8	86	85.6
Gm16140	93.8	90.4	121.9	159.7	141.6	99.7	170.8	119.6	33.1	32.6	62.3	64.1	146.4	96.5	93.3	62.1
Gm16418	184.8	166.6	128.5	116.4	116	129.2	152.6	129.6	159.5	149.8	124.7	105.5	143	100.1	86.7	117.5
Gm6136	8969.5	9145.1	8291.8	7366.3	7553.5	6425.9	8402.5	7911.2	9065.3	9577.3	7143.7	8638.9	7133.3	6192	5936.2	6366.5
Gm15710	3528.2	3021	2431.9	2091.5	2555.4	2522.1	2893.6	2831.6	3307.7	3096.4	2341	2512.3	2668	2095.8	2184.5	2328.4
Gm12696	512.1	685.3	551.3	573.9	478.9	605.2	574.7	589.2	508.6	567.4	549.1	575.6	518.5	586	518.9	579.2
Gm15421	1344.9	1174.4	966.5	854.5	938.7	831.3	1194.5	1028.8	1243.1	928.4	1112.8	921.5	980.2	690.9	769.6	700.9
Tpt1-ps3	561.8	452.1	415.2	400.6	474.7	567.3	586	448.7	717.9	885.2	461.6	490.8	689.2	359.3	440.3	456.6
Rpl3-ps1	10472	10596.7	9469.7	8943.5	9458.6	7189.9	10542	9463.9	11002.5	10534.6	10200.9	9506.2	8858.7	7517.2	7312.9	8154.3
Znf41-ps	289.8	226.1	236.1	150.7	217.1	241.5	282.6	174	145	153.6	119.4	179.4	189.9	167.6	220.5	153.6
Gm13370	796.2	807.9	631.3	674	753.5	721.8	614.6	711.5	815.3	819	566.3	639.7	618.9	618.6	491.7	569.9
Rpl10a-ps1	4410.7	4234.6	3659.3	3484.6	3985.9	3284.6	4116.7	3753.5	4742.4	4572.1	3827.8	3727.6	4020.4	2967.6	2899	3197.1
Gm13881	156.6	95.2	86.7	122.7	68.1	70.2	123.1	52.6	61.1	95.1	95.5	92.6	107.9	43.4	83.1	47.8
Ubl5	4053.4	4498.8	4003.1	4155.9	4166.8	3846.3	4202.6	4155.9	4341.5	4218.8	4062.6	3915.8	4257.1	3749	3663.4	4247.9
Gm11342	15	7.1	0	4.5	9.6	0	45.9	0	119.1	96	91.5	142.9	117.1	80.8	111.7	77.2
Mir142hg	967.9	368.9	1078.9	1023.2	722.7	959.1	1242.2	618.2	1540.4	616.4	1138	1125.6	761.1	932.1	1220.2	580.8
Ino80dos	894.7	329.6	626.6	763.3	559.8	836.9	801.9	546.6	920.9	338	602.2	754	601.3	779	970.3	426.4
5830444B04Rik	82.5	139.2	72.4	226.5	94.7	63.2	201.1	147.7	75.6	145.9	84.9	197.1	90.3	30.1	216.8	106.6
Gm5526	365.8	364.1	348.5	289.6	293.8	307.5	349.3	316.3	271.4	297.6	217.5	274	293.6	213.4	230.8	260.2
Gm10241	104.1	113	93.3	88.4	112.8	88.5	118.8	102.4	111.9	112.3	103.5	93.6	87.8	89.2	83.8	82.3
A930006K02Rik	183.8	232	142.8	160.6	187.3	133.4	218.5	203.9	261.1	277.5	195	181.4	170.6	121.8	230.8	251
Gm16194	423.9	583	716.1	510.7	449.1	521	395.3	508.5	241.4	343.7	249.4	223.7	109.6	177.3	205.1	219.9
Bbip1	1345.8	1051.8	1245.5	978.1	1040.9	1047.6	1261.3	1136.6	1316.7	1009.1	1558.4	1115.7	1369.1	1488	1245.9	1384.9
Gm15503	102.2	159.4	91.4	102.9	74.5	85.7	80.6	65.3	90.1	90.3	76.9	107.4	56	44.6	78.6	94
Gm12743	91.9	65.4	114.3	58.6	94.7	92.7	119.6	104.2	62.2	133.5	79.6	120.2	51.9	76	95.6	98.2
C230035I16Rik	184.8	153.5	54.3	100.2	125.6	113.7	162.1	137.8	116	93.1	112.7	80.8	92.8	65.1	115.4	100.7
Slc2a4rg-ps	384.5	251.1	294.2	483.6	454.5	450.8	287.8	327.2	479.6	391.7	383.3	417.9	578.8	520.9	343.3	193.9
4933421O10Rik	209.1	159.4	169.5	127.2	25.5	61.8	130	203.9	140.9	114.3	250.7	93.6	8.4	37.4	182.3	177.9
Gm11974	1265.1	1627.7	1493.1	1458.1	1464.5	1436.6	1230.9	1177.4	1429.6	1651.4	1379.4	1576	1405.9	1620.7	1231.2	1311.9
Gm6542	136.9	147.5	134.3	137.1	134.1	144.6	104	145	160.6	145	130	130.1	138.8	132.6	97	95.7
Gm11423	198.8	254.6	279.9	194	172.4	178.3	269.6	266.5	169.9	215.1	313	218.8	116.3	197.8	221.2	259.4
Gm12195	249.5	65.4	319.9	151.6	71.3	164.3	488	157.7	154.4	39.4	253.3	134	95.3	120.6	277.8	117.5
Nr6a1os	203.5	83.3	119	197.6	204.3	96.9	193.3	99.7	196.8	90.3	114.1	312.4	226.7	223.1	152.9	125.9
Brip1os	2964.5	2773.5	2387.2	2579.6	2445.8	2533.3	2695.1	2570.6	3027	2570.3	2266.7	2743.9	2445.5	2696.3	2767.4	2576.8
6330418K02Rik	133.2	98.8	120.9	97.4	77.7	96.9	130.9	108.8	134.7	121.9	114.1	129.1	118.8	135.1	124.2	128.4
Snhg3	564.6	450.9	317.1	261.7	307.6	317.4	422.2	453.2	453.7	340.8	254.7	279.9	258.4	236.3	241.1	299.6
Gm11713	157.6	32.1	80.9	135.3	124.5	175.5	181.2	93.4	143	7.7	66.3	115.3	52.7	127.8	150.7	53.7
4833418N02Rik	389.2	289.1	341.8	290.5	278.9	391.8	502.8	425.1	257.9	215.1	294.4	313.4	241.7	256.8	432.9	430.6
Gm12940	317.9	89.2	150.4	268	253.3	321.6	296.5	152.3	290.1	191.1	149.9	343	335.4	214.6	330.8	172.9
Hk1os	165.1	120.2	185.7	134.4	147.9	161.5	153.4	136	182.3	107.5	114.1	128.1	172.3	110.9	139.7	151.9
3010003L21Rik	334.8	258.2	356.1	319.4	249.1	353.9	321.6	440.5	322.2	355.2	537.2	402.1	290.2	323.2	409.4	359.2
Snhg17	656.5	746	955.1	832.8	965.3	874.9	868.6	752.3	710.6	847.8	909.9	790.5	981.1	1049.1	879.8	766.3
Firre	906	547.3	897	867.1	932.3	1138.9	973.5	772.3	702.4	538.6	956.3	926.5	1078.9	1349.3	1315.7	779.8
Foxd2os	604	472.4	539	658.7	881.3	821.5	648.4	622.7	335.6	264	298.4	329.2	338.7	434.1	534.4	440.7
Gm13919	30.9	36.9	53.3	21.7	24.5	12.6	19.9	47.1	167.8	177.6	132.6	152.8	129.6	77.2	197	164.5
Gm16001	220.4	165.4	192.3	106.5	122.4	88.5	136.1	204.8	206.1	234.3	167.1	115.3	155.6	139.9	201.4	209.8
Zfp335os	199.8	193.9	153.3	147.1	112.8	80	181.2	229.3	63.2	119.1	168.4	101.5	92.8	97.7	134.5	107.4
1700020I14Rik	4164	3113.8	3097.5	3860	4280.7	4284.4	3728.4	4308.2	3407.1	3198.2	2532	4104.1	3884.1	3676.6	2955.6	3178.6
Gm3362	2024.8	1574.2	1375	1167.6	1245.3	1487.1	1633.2	1489.2	1964.1	1542.9	1212.3	1395.6	1453.6	1091.3	1184.1	1185.2
Trmt61b	696.8	740.1	650.4	878.8	700.3	810.3	853.9	643.6	652.6	647.1	779.9	753	598	608.9	595.4	700.9
Gm15658	545.8	567.6	718	731.8	767.4	803.2	517.5	481.3	211.3	219.9	269.2	318.4	310.3	287	238.2	164.5
