baseMean	log2FoldChange	lfcSE	pvalue	padj
Rhoj	57.4972920240515	-2.91123723808889	0.741845368480544	2.08759536428831e-06	5.82791858207691e-06
Kif1b	705.456959049319	-2.90778584294056	0.195045268231972	2.32531156784294e-51	4.11131403170546e-50
Fgd4	337.65872589615	-2.89256835956	0.261200584511201	1.24460066484922e-29	1.30250109037907e-28
C1rl	205.311016745784	-2.88035975040164	0.336801413776562	7.95125742480872e-19	5.36363937933215e-18
Tbc1d2	535.672419326429	-2.86013010398749	0.212716837306594	2.60964948414882e-42	3.907882243871e-41
Ak4	338.113388476022	-2.85965106173707	0.262780565019422	1.04811345178397e-28	1.05734608279067e-27
Mnda	52.6050594761374	-2.85290141303041	0.740350351869829	2.77153365270537e-06	7.62323039082008e-06
Ralb	1300.60704326489	-2.83598124534135	0.141460308749355	1.82244922032538e-90	5.77567397560982e-89
Cebpa	934.748559038833	-2.82995541170007	0.157693758983424	4.42014357062186e-73	1.11365517261818e-71
Pros1	262.683803700082	-2.82514007890816	0.311863742636971	9.11914799359323e-21	6.76252932151821e-20
Rab31	2632.17822707979	-2.81672756894528	0.100736361131964	4.29561984624083e-173	3.20675976373445e-171
Pcbd1	79.9530030455902	-2.80300235667473	0.570502293174394	3.18882965203859e-08	1.04954360657234e-07
Rgcc	2219.33235747647	-2.8016034187206	0.108361227480609	1.95035270229207e-148	1.17698530141913e-146
Bzrap1	150.83452029926	-2.78306436820928	0.444174238182853	1.86673977271106e-11	8.11254999110914e-11
Morc4	52.195082730998	-2.76565752645239	0.72101976114365	3.03601078262319e-06	8.31212080067279e-06
Cst7	3188.09649410653	-2.76564017688323	0.0904008701716017	1.38071873701421e-206	1.28841513255826e-204
Nrg2	576.300250942906	-2.74896290480447	0.205765891889513	8.5221378451069e-42	1.25932705576228e-40
Fam101b	812.870655973977	-2.74821088933029	0.168938295120224	1.43670486448778e-60	2.99155198849336e-59
Plscr1	277.527647822112	-2.74184043458366	0.297068549285545	1.9106050144294e-21	1.47661636007818e-20
Nfe2	2847.04347581242	-2.73820185460275	0.109159265130945	6.639664410619e-140	3.65653212733433e-138
