24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Nup214	5596.7	5971	6004.8	6490.3	4883.6	5439
Ugp2	2234.8	2069	2523.5	2203.2	2594.7	3012.5
Trmt1	4770.3	4955.2	5028.5	4793.3	3739.2	4011.3
Nacc1	6936.4	7206.1	7120.4	7476.4	6756.8	7301.5
Nfix	1556.1	1708.3	1547.2	1650	980.7	1100
Slc1a5	6644.9	6673.8	7422.1	6915.3	14915.2	16328
Uba1	18389.7	18371.2	19977.5	19800.8	16435	17596
Siae	1861.5	2146.8	943	1326.8	265.4	222.9
Fam50a	1474.4	1428.1	1397.7	1344.5	1287.5	1296.1
Emd	2762.1	2543.2	2954.2	2679.2	2933.7	2919.9
Taco1	706.5	674.7	859.4	724.6	713.2	735.8
Gria3	1905.2	1668	2187.5	2140.6	330.7	216.8
Sipa1l2	28.8	39.4	65.9	57.8	294.4	279
Ap4e1	965.6	967.1	1066.4	1105.5	1401.5	1433.8
Blvra	1089.1	1016.7	1096.1	1056.6	553.6	611.5
Pdzd4	493	541.6	448.3	531.7	432.3	451.9
Idh3g	6265.1	5976.6	6623	6282.7	5609.3	5719.2
Pnck	131.8	185.5	49.2	219.3	1	2.4
Ssr4	3810.3	3414.7	3630.7	3634.9	2591.6	2595.9
Bcap31	4844.6	4706	5241	5023.4	5164.6	5152.7
Fam98a	1860.6	1876.9	2152.3	2147.4	1638.9	1882
Ltbp2	14.9	13.1	181.9	15.7	77.7	98.7
Kmt2a	4825.1	5579.3	4785.3	5485.6	8360.5	9368.7
Ift46	1247.8	1178.8	1065.5	1057.6	1576.7	1561.7
Trappc6a	1662.8	1781.4	1478.5	1554	2288.9	1872.3
Supt6	7177.8	7440.3	7007.2	7043.5	5818.7	6289.3
Spag5	4834.4	4761.2	5916.7	5706.9	8081.7	7604.8
Unc119	596.1	571.6	539.2	606.1	409.5	376.4
Sdf2	1228.3	1255.7	950.4	1112.4	840.7	845.4
Ccne1	1575.6	1467.5	1760.6	1729.3	1717.7	1918.6
Bbc3	1012.9	1171.3	581.9	860.7	873.9	871
Psmc3	7095.2	6837.8	8239.7	7729	6711.2	6663.2
Acp2	651.8	736.5	573.6	557.2	358.7	339.9
Rapsn	86.3	109.6	92.8	164.5	22.8	31.7
Slc39a13	247	232.4	258	251.7	275.7	270.4
